,DEPTH,DT,GR,ILD,NPHI,RHOB,Porosidade_DT,Classe_poro_dt
0,2970.0,87.082,92.0,3.0208,23.8008,2.4523,0.2336992481203007,Alta
1,2970.2,88.8047,97.5625,3.1394,24.9805,2.4528,0.2466518796992481,Alta
2,2970.4,88.7539,101.2812,3.2383,24.6406,2.4569,0.24626992481203008,Alta
3,2970.6,85.8164,99.3008,3.2869,22.5898,2.4498,0.22418345864661654,Alta
4,2970.8,82.9414,96.8398,3.334,19.9883,2.45,0.2025669172932331,Alta
5,2971.0,82.4453,93.7031,3.446,19.4922,2.4587,0.19883684210526317,Alta
6,2971.2,83.3984,87.625,3.6001,21.6797,2.4671,0.20600300751879697,Alta
7,2971.4,84.3438,82.8438,3.6523,22.332,2.481,0.21311127819548872,Alta
8,2971.6,84.9648,83.7656,3.5767,21.4023,2.4885,0.21778045112781952,Alta
9,2971.8,86.4922,87.9883,3.4561,21.4531,2.4773,0.2292646616541353,Alta
10,2972.0,89.0078,89.2952,3.3838,21.6758,2.4578,0.24817894736842108,Alta
11,2972.2,90.3906,89.3058,3.3384,21.0625,2.4392,0.2585759398496241,Alta
12,2972.4,89.8203,90.043,3.2847,20.8611,2.432,0.25428796992481206,Alta
13,2972.6,88.3828,92.8008,3.3013,21.7422,2.4408,0.24347969924812032,Alta
14,2972.8,86.7148,95.4102,3.3887,22.1133,2.4477,0.23093834586466164,Alta
15,2973.0,85.0,96.6367,3.4844,20.8828,2.4526,0.21804511278195488,Alta
16,2973.2,84.4392,97.7969,3.5227,19.9414,2.4642,0.21382857142857142,Alta
17,2973.4,84.418,101.25,3.4619,20.3789,2.475,0.21366917293233087,Alta
18,2973.6,85.2812,103.9766,3.3071,21.0391,2.4722,0.22015939849624058,Alta
19,2973.8,86.9844,101.686,3.0977,22.7266,2.4385,0.23296541353383454,Alta
20,2974.0,89.0273,103.3125,2.9053,25.293,2.3904,0.24832556390977442,Alta
21,2974.2,91.6328,108.25,2.7473,27.3164,2.3632,0.2679157894736842,Alta
22,2974.4,94.1758,109.6289,2.6589,27.9297,2.3738,0.28703609022556387,Alta
23,2974.6,94.5938,108.2266,2.6675,27.0977,2.4175,0.2901789473684211,Alta
24,2974.8,93.2891,106.1445,2.7317,26.5977,2.4556,0.2803691729323309,Alta
25,2975.0,91.0391,103.8086,2.8511,26.2451,2.4609,0.26345187969924816,Alta
26,2975.2,89.488,101.4258,2.9954,24.9648,2.439,0.2517894736842105,Alta
27,2975.4,89.9844,99.5078,3.1055,24.9727,2.4163,0.25552180451127815,Alta
28,2975.6,92.0586,98.8242,3.2068,26.0664,2.4016,0.2711172932330827,Alta
29,2975.8,95.1016,99.0325,3.2778,27.7266,2.3777,0.29399699248120303,Alta
30,2976.0,97.707,98.6797,3.2791,29.9492,2.3477,0.31358646616541347,Muito alta
31,2976.2,98.8945,96.1133,3.2307,31.2148,2.3521,0.3225150375939849,Muito alta
32,2976.4,97.1836,90.375,3.1925,30.1289,2.4028,0.30965112781954884,Muito alta
33,2976.6,93.7852,85.0352,3.2012,27.0977,2.4521,0.2840992481203008,Alta
34,2976.8,91.1836,81.8438,3.2429,23.6055,2.481,0.26453834586466163,Alta
35,2977.0,90.5,79.0938,3.2886,22.1641,2.4952,0.2593984962406015,Alta
