,DEPTH,DT,GR,ILD,NPHI,RHOB
0,2970.0,87.082,92.0,3.0208,23.8008,2.4523
1,2970.2,88.8047,97.5625,3.1394,24.9805,2.4528
2,2970.4,88.7539,101.2812,3.2383,24.6406,2.4569
3,2970.6,85.8164,99.3008,3.2869,22.5898,2.4498
4,2970.8,82.9414,96.8398,3.334,19.9883,2.45
5,2971.0,82.4453,93.7031,3.446,19.4922,2.4587
6,2971.2,83.3984,87.625,3.6001,21.6797,2.4671
7,2971.4,84.3438,82.8438,3.6523,22.332,2.481
8,2971.6,84.9648,83.7656,3.5767,21.4023,2.4885
9,2971.8,86.4922,87.9883,3.4561,21.4531,2.4773
10,2972.0,89.0078,89.2952,3.3838,21.6758,2.4578
11,2972.2,90.3906,89.3058,3.3384,21.0625,2.4392
12,2972.4,89.8203,90.043,3.2847,20.8611,2.432
13,2972.6,88.3828,92.8008,3.3013,21.7422,2.4408
14,2972.8,86.7148,95.4102,3.3887,22.1133,2.4477
15,2973.0,85.0,96.6367,3.4844,20.8828,2.4526
16,2973.2,84.4392,97.7969,3.5227,19.9414,2.4642
17,2973.4,84.418,101.25,3.4619,20.3789,2.475
18,2973.6,85.2812,103.9766,3.3071,21.0391,2.4722
19,2973.8,86.9844,101.686,3.0977,22.7266,2.4385
20,2974.0,89.0273,103.3125,2.9053,25.293,2.3904
21,2974.2,91.6328,108.25,2.7473,27.3164,2.3632
22,2974.4,94.1758,109.6289,2.6589,27.9297,2.3738
23,2974.6,94.5938,108.2266,2.6675,27.0977,2.4175
24,2974.8,93.2891,106.1445,2.7317,26.5977,2.4556
25,2975.0,91.0391,103.8086,2.8511,26.2451,2.4609
26,2975.2,89.488,101.4258,2.9954,24.9648,2.439
27,2975.4,89.9844,99.5078,3.1055,24.9727,2.4163
28,2975.6,92.0586,98.8242,3.2068,26.0664,2.4016
29,2975.8,95.1016,99.0325,3.2778,27.7266,2.3777
30,2976.0,97.707,98.6797,3.2791,29.9492,2.3477
31,2976.2,98.8945,96.1133,3.2307,31.2148,2.3521
32,2976.4,97.1836,90.375,3.1925,30.1289,2.4028
33,2976.6,93.7852,85.0352,3.2012,27.0977,2.4521
34,2976.8,91.1836,81.8438,3.2429,23.6055,2.481
35,2977.0,90.5,79.0938,3.2886,22.1641,2.4952
36,2977.2,90.7788,76.1562,3.3394,23.5781,2.4921
37,2977.4,90.4805,74.4375,3.3843,24.9141,2.4822
38,2977.6,89.2656,75.1133,3.3804,24.3906,2.4827
39,2977.8,88.1602,78.4219,3.3447,23.2812,2.4898
40,2978.0,88.457,82.4648,3.3279,22.8477,2.4939
41,2978.2,90.5,84.293,3.328,23.7812,2.4849
42,2978.4,93.0703,81.1875,3.3472,27.4648,2.4409
43,2978.6,93.6953,76.5,3.3704,29.2722,2.4081
44,2978.8,91.582,73.6719,3.3801,27.1562,2.4219
45,2979.0,88.8398,73.7417,3.3822,24.1133,2.4548
46,2979.2,88.0344,72.5195,3.4019,23.1021,2.4685
47,2979.4,88.6055,66.6875,3.4448,23.5508,2.4695
48,2979.6,89.1047,59.0312,3.4802,23.7422,2.4751
49,2979.8,88.6484,56.5427,3.501,23.1016,2.4859
50,2980.0,87.5703,57.0547,3.5527,22.9451,2.4956
51,2980.2,86.6367,56.0469,3.6606,23.1709,2.5068
52,2980.4,85.7109,54.3906,3.7722,22.6719,2.5195
53,2980.6,85.0664,55.5508,3.8447,21.5742,2.5302
54,2980.8,85.5859,60.1875,3.9001,20.9766,2.5308
55,2981.0,87.5625,68.25,3.989,21.5039,2.5076
56,2981.2,90.0664,77.1875,4.0457,22.6953,2.4739
57,2981.4,92.0469,79.582,3.9934,24.457,2.455
58,2981.6,92.4844,70.4375,3.866,25.918,2.4638
59,2981.8,91.8398,59.375,3.7644,25.625,2.4794
60,2982.0,90.1758,52.625,3.6875,23.9492,2.4966
61,2982.2,88.0273,51.8867,3.5908,22.1875,2.5227
62,2982.4,86.7578,54.3086,3.4951,21.3025,2.5395
63,2982.6,87.2891,56.6797,3.4392,22.4219,2.5149
64,2982.8,89.6641,56.2578,3.435,24.6289,2.4604
65,2983.0,92.0469,54.1094,3.4496,25.4827,2.4328
66,2983.2,92.6116,53.3474,3.4656,24.8984,2.4376
67,2983.4,90.957,55.332,3.4978,23.9297,2.4505
68,2983.6,88.9688,57.5039,3.5505,23.4444,2.459
69,2983.8,88.1875,58.2383,3.6179,23.5645,2.4629
70,2984.0,88.293,58.5627,3.6899,23.4688,2.4605
71,2984.2,88.5781,58.2812,3.7556,22.8203,2.4518
72,2984.4,88.9961,58.2812,3.7788,22.7319,2.4397
73,2984.6,89.7266,59.7617,3.7185,23.0938,2.4319
74,2984.8,90.4258,61.707,3.6179,23.7031,2.4336
75,2985.0,90.7026,62.3462,3.5481,24.2617,2.4341
76,2985.2,90.4883,61.5352,3.4875,23.7852,2.4279
77,2985.4,89.7305,59.9961,3.4268,22.8652,2.4187
78,2985.6,88.957,58.0664,3.3951,22.8867,2.4115
79,2985.8,88.7646,56.1562,3.415,23.1494,2.4067
80,2986.0,89.071,54.918,3.4851,23.1338,2.4091
81,2986.2,89.1497,55.4297,3.5662,23.5391,2.4194
82,2986.4,88.5664,61.875,3.6147,24.3398,2.4237
83,2986.6,87.5757,78.375,3.6086,24.1484,2.4167
84,2986.8,87.9102,100.6875,3.5757,22.6914,2.412
85,2987.0,90.0117,111.3906,3.5237,24.0586,2.4019
86,2987.2,92.25,99.3125,3.3953,28.7734,2.3773
87,2987.4,92.1523,81.1875,3.1804,29.6211,2.3748
88,2987.6,90.7148,71.0625,3.0066,26.3789,2.4067
89,2987.8,90.0039,67.0469,2.9618,24.0469,2.4443
90,2988.0,90.1482,68.5625,3.0107,23.3711,2.462
91,2988.2,89.5664,78.75,3.0132,22.8828,2.4636
92,2988.4,88.5586,96.4375,2.959,22.5156,2.4575
93,2988.6,88.9922,104.0,2.9262,22.5117,2.4532
94,2988.8,91.0039,91.1875,2.9385,24.2695,2.4478
95,2989.0,91.7546,72.125,2.9453,25.9062,2.4511
96,2989.2,89.5742,64.0742,2.8738,23.8125,2.4756
97,2989.4,87.4414,63.8911,2.7424,21.5742,2.4885
98,2989.6,88.3555,62.5898,2.6301,23.25,2.4651
99,2989.8,91.9883,59.1367,2.595,25.8867,2.4309
100,2990.0,94.418,56.1719,2.6309,26.3503,2.4149
101,2990.2,94.4375,54.625,2.6719,26.3982,2.4108
102,2990.4,93.7874,54.3586,2.6956,26.8904,2.4108
103,2990.6,93.8398,54.582,2.717,26.6914,2.4024
104,2990.8,94.1875,54.3203,2.7554,25.9805,2.385
105,2991.0,94.5586,52.543,2.8291,25.25,2.3778
106,2991.2,94.1367,46.6875,2.98,25.6016,2.3904
107,2991.4,91.2773,38.3125,3.1846,27.0273,2.418
108,2991.6,84.3125,34.6523,3.3228,26.2422,2.4902
109,2991.8,74.875,40.625,3.2681,20.4375,2.6128
110,2992.0,70.4609,50.4375,3.134,15.6914,2.6803
111,2992.2,74.3125,57.5625,3.0332,17.2305,2.6313
112,2992.4,82.4375,59.6602,2.9312,22.2148,2.5334
113,2992.6,88.3672,59.207,2.7336,24.9102,2.4795
114,2992.8,91.4375,59.0552,2.4729,25.9727,2.4599
115,2993.0,92.7463,61.9375,2.2671,27.2969,2.4449
116,2993.2,92.7227,67.9375,2.1428,27.2773,2.4438
117,2993.4,92.0977,72.0742,2.0491,25.75,2.4595
118,2993.6,92.2227,73.082,1.9712,25.2617,2.458
119,2993.8,93.8242,74.1328,1.8972,25.9883,2.4199
120,2994.0,94.4263,75.6875,1.8252,26.6445,2.3799
121,2994.2,92.7812,76.582,1.7698,26.4336,2.3687
122,2994.4,90.2695,76.582,1.7617,24.7266,2.4041
123,2994.6,89.8438,81.5,1.8005,24.375,2.4395
124,2994.8,91.4375,93.25,1.8782,25.9766,2.4312
125,2995.0,93.2891,98.7461,1.9683,27.0,2.3994
126,2995.2,94.3867,92.8125,2.0422,28.0859,2.3994
127,2995.4,94.6284,85.875,2.0898,28.3462,2.4309
128,2995.6,94.1719,84.2969,2.0889,26.5,2.4685
129,2995.8,93.3438,87.6875,2.0398,25.0664,2.4939
130,2996.0,93.2192,98.0,1.9778,25.5195,2.501
131,2996.2,94.5547,114.5625,1.9351,27.1875,2.4866
